target,window,test_loss,test_loss_std,top1,top5,n_seeds
ViT-L-14__block4,300_400,4.4855,0.028,0.067,0.231,5
ViT-L-14__block4,400_500,5.0591,0.0547,0.022,0.076,5
ViT-L-14__block4,500_600,5.2609,0.015,0.008,0.036,5
ViT-L-14__block4,600_700,5.2859,0.0086,0.009,0.037,5
ViT-L-14__block4,700_800,5.3107,0.0069,0.008,0.027,5
ViT-L-14__block4,800_900,5.3282,0.0101,0.002,0.02,5
ViT-L-14__block4,900_1000,5.3177,0.008,0.005,0.019,5
ViT-L-14__block4__fov,0_100,3.91,0.0405,0.087,0.278,5
ViT-L-14__block4__fov,100_200,3.0237,0.0316,0.221,0.539,5
ViT-L-14__block4__fov,200_300,3.594,0.0176,0.145,0.412,5
ViT-L-14__block4__fov,300_400,4.4588,0.0377,0.07,0.224,5
ViT-L-14__block4__fov,400_500,5.0742,0.0545,0.021,0.078,5
ViT-L-14__block4__fov,500_600,5.2599,0.0101,0.008,0.038,5
ViT-L-14__block4__fov,600_700,5.2883,0.013,0.006,0.029,5
ViT-L-14__block4__fov,700_800,5.3081,0.0047,0.006,0.027,5
ViT-L-14__block4__fov,800_900,5.326,0.0102,0.007,0.027,5
ViT-L-14__block4__fov,900_1000,5.3163,0.008,0.002,0.015,5
ViT-L-14__block8,0_100,4.0119,0.0284,0.078,0.266,5
ViT-L-14__block8,100_200,2.8786,0.0416,0.25,0.6,5
ViT-L-14__block8,200_300,3.4031,0.0138,0.144,0.421,5
ViT-L-14__block8,300_400,4.255,0.0202,0.093,0.266,5
ViT-L-14__block8,400_500,4.9408,0.0356,0.036,0.105,5
ViT-L-14__block8,500_600,5.2268,0.0282,0.011,0.054,5
ViT-L-14__block8,600_700,5.2805,0.0086,0.01,0.056,5
ViT-L-14__block8,700_800,5.3101,0.0076,0.008,0.036,5
ViT-L-14__block8,800_900,5.3128,0.0136,0.01,0.036,5
ViT-L-14__block8,900_1000,5.3147,0.0085,0.006,0.026,5
ViT-L-14__block8__fov,0_100,3.9475,0.0329,0.072,0.286,5
ViT-L-14__block8__fov,100_200,2.8002,0.0361,0.274,0.618,5
ViT-L-14__block8__fov,200_300,3.3289,0.026,0.16,0.436,5
ViT-L-14__block8__fov,300_400,4.2247,0.0247,0.1,0.262,5
ViT-L-14__block8__fov,400_500,4.9364,0.0369,0.037,0.111,5
ViT-L-14__block8__fov,500_600,5.2215,0.0218,0.013,0.053,5
ViT-L-14__block8__fov,600_700,5.2823,0.011,0.008,0.036,5
ViT-L-14__block8__fov,700_800,5.3114,0.002,0.008,0.03,5
ViT-L-14__block8__fov,800_900,5.3206,0.0056,0.005,0.03,5
ViT-L-14__block8__fov,900_1000,5.3148,0.009,0.011,0.033,5
