target,window,test_loss,test_loss_std,top1,top5,n_seeds
ViT-L-14__block4__fov,400_500,5.1781,0.0858,0.014,0.066,5
ViT-L-14__block4__fov,500_600,5.2835,0.0013,0.003,0.024,5
ViT-L-14__block4__fov,600_700,5.2933,0.0013,0.006,0.028,5
ViT-L-14__block4__fov,700_800,5.2953,0.0018,0.005,0.023,5
ViT-L-14__block8,baseline,5.3034,0.0007,0.005,0.024,5
ViT-L-14__block8,0_100,3.9969,0.0106,0.089,0.268,5
ViT-L-14__block8,100_200,3.1854,0.0164,0.256,0.574,5
ViT-L-14__block8,200_300,3.4237,0.0207,0.186,0.469,5
ViT-L-14__block8,300_400,4.1371,0.0195,0.1,0.31,5
ViT-L-14__block8,400_500,5.1562,0.1013,0.016,0.074,5
ViT-L-14__block8,500_600,5.2817,0.0019,0.006,0.036,5
ViT-L-14__block8,600_700,5.2939,0.002,0.003,0.025,5
ViT-L-14__block8,700_800,5.2952,0.0016,0.01,0.028,5
ViT-L-14__block8__fov,baseline,5.3025,0.0004,0.006,0.026,5
ViT-L-14__block8__fov,0_100,3.9685,0.0062,0.099,0.28,5
ViT-L-14__block8__fov,100_200,3.1362,0.0202,0.264,0.578,5
ViT-L-14__block8__fov,200_300,3.3708,0.019,0.172,0.497,5
ViT-L-14__block8__fov,300_400,4.1418,0.0155,0.106,0.301,5
ViT-L-14__block8__fov,400_500,5.1553,0.1039,0.016,0.072,5
ViT-L-14__block8__fov,500_600,5.2814,0.0024,0.009,0.039,5
ViT-L-14__block8__fov,600_700,5.293,0.0017,0.005,0.031,5
ViT-L-14__block8__fov,700_800,5.2939,0.002,0.006,0.033,5
