target,window,test_loss,test_loss_std,top1,top5,n_seeds
ViT-B-16__block6,400_500,5.2427,0.0055,0.01,0.056,5
ViT-B-16__block6,500_600,5.2797,0.0043,0.009,0.039,5
ViT-B-16__block6,600_700,5.2959,0.0025,0.007,0.033,5
ViT-B-16__block6,700_800,5.2971,0.0026,0.009,0.032,5
ViT-B-16__block6,800_900,5.2998,0.0013,0.007,0.034,5
ViT-B-16__block6,900_1000,5.3014,0.0016,0.008,0.031,5
ViT-B-16__block6__fov,0_100,3.9537,0.0247,0.12,0.308,5
ViT-B-16__block6__fov,100_200,3.1809,0.0552,0.24,0.512,5
ViT-B-16__block6__fov,200_300,3.3907,0.0588,0.179,0.484,5
ViT-B-16__block6__fov,300_400,4.2935,0.0287,0.078,0.274,5
ViT-B-16__block6__fov,400_500,5.2464,0.004,0.01,0.046,5
ViT-B-16__block6__fov,500_600,5.2847,0.0056,0.005,0.033,5
ViT-B-16__block6__fov,600_700,5.2998,0.0009,0.003,0.027,5
ViT-B-16__block6__fov,700_800,5.3019,0.0031,0.004,0.025,5
ViT-B-16__block6__fov,800_900,5.3035,0.0037,0.006,0.03,5
ViT-B-16__block6__fov,900_1000,5.3039,0.0045,0.004,0.026,5
ViT-B-16__block8,0_100,4.3031,0.0145,0.072,0.221,5
ViT-B-16__block8,100_200,3.6263,0.0624,0.173,0.418,5
ViT-B-16__block8,200_300,3.7228,0.037,0.136,0.372,5
ViT-B-16__block8,300_400,4.3601,0.0216,0.066,0.228,5
ViT-B-16__block8,400_500,5.2493,0.0042,0.011,0.046,5
ViT-B-16__block8,500_600,5.2854,0.0025,0.007,0.035,5
ViT-B-16__block8,600_700,5.3031,0.0027,0.005,0.022,5
ViT-B-16__block8,700_800,5.3044,0.002,0.006,0.031,5
ViT-B-16__block8,800_900,5.3068,0.0036,0.003,0.027,5
ViT-B-16__block8,900_1000,5.3072,0.0037,0.011,0.026,5
ViT-B-16__block8__fov,0_100,4.2519,0.0114,0.086,0.248,5
ViT-B-16__block8__fov,100_200,3.5026,0.0665,0.162,0.429,5
ViT-B-16__block8__fov,200_300,3.6272,0.0441,0.158,0.364,5
ViT-B-16__block8__fov,300_400,4.3272,0.0184,0.072,0.244,5
ViT-B-16__block8__fov,400_500,5.2447,0.0015,0.009,0.047,5
ViT-B-16__block8__fov,500_600,5.2827,0.0019,0.004,0.028,5
ViT-B-16__block8__fov,600_700,5.3013,0.0007,0.009,0.032,5
ViT-B-16__block8__fov,700_800,5.3035,0.0022,0.008,0.025,5
ViT-B-16__block8__fov,800_900,5.3065,0.0028,0.005,0.025,5
ViT-B-16__block8__fov,900_1000,5.3068,0.0042,0.005,0.026,5
ViT-L-14__block12,0_100,4.2742,0.0139,0.072,0.232,5
ViT-L-14__block12,100_200,3.6449,0.0608,0.165,0.416,5
ViT-L-14__block12,200_300,3.7802,0.0431,0.117,0.376,5
ViT-L-14__block12,300_400,4.4725,0.0315,0.047,0.201,5
ViT-L-14__block12,400_500,5.2642,0.0042,0.007,0.034,5
ViT-L-14__block12,500_600,5.2927,0.0048,0.006,0.035,5
ViT-L-14__block12,600_700,5.3041,0.0039,0.004,0.027,5
ViT-L-14__block12,700_800,5.3048,0.0022,0.005,0.031,5
ViT-L-14__block12,800_900,5.3071,0.0038,0.006,0.032,5
ViT-L-14__block12,900_1000,5.3054,0.0052,0.012,0.034,5
ViT-L-14__block12__fov,0_100,4.2079,0.0605,0.082,0.225,5
ViT-L-14__block12__fov,100_200,3.4874,0.0646,0.187,0.438,5
ViT-L-14__block12__fov,200_300,3.6549,0.0355,0.154,0.4,5
ViT-L-14__block12__fov,300_400,4.3937,0.0291,0.063,0.23,5
ViT-L-14__block12__fov,400_500,5.2621,0.0053,0.007,0.028,5
ViT-L-14__block12__fov,500_600,5.2902,0.004,0.006,0.029,5
ViT-L-14__block12__fov,600_700,5.3045,0.0029,0.005,0.029,5
ViT-L-14__block12__fov,700_800,5.3076,0.004,0.006,0.024,5
ViT-L-14__block12__fov,800_900,5.3085,0.0022,0.006,0.027,5
ViT-L-14__block12__fov,900_1000,5.307,0.0045,0.005,0.033,5
ViT-L-14__block16,0_100,4.401,0.0103,0.06,0.203,5
ViT-L-14__block16,100_200,3.7568,0.0564,0.152,0.355,5
ViT-L-14__block16,200_300,3.7443,0.061,0.117,0.379,5
ViT-L-14__block16,300_400,4.3709,0.035,0.053,0.226,5
ViT-L-14__block16,400_500,5.2578,0.0027,0.011,0.038,5
ViT-L-14__block16,500_600,5.2893,0.0058,0.004,0.024,5
ViT-L-14__block16,600_700,5.3046,0.0019,0.006,0.025,5
